,tweet,time
64,RT @truccotrucco lots of cops but they cant stop us #POK,2014-01-23T17:22:00
65,RT @maha_Homeland Now speaking is Lucio Jakab of Save Our Wildlands - starting out by quoting Albert Einstein,2014-01-23T17:23:00
66,RT @choconibbs IT just doesn't get better than this #blather #POKRally,2014-01-23T17:23:00
67,RT @AbilaPost POK rally is peaceful so far but tense with a strong police presence #POKrally #AbilaPost,2014-01-23T17:25:00
68,RT @AbilaPost POK rally is peaceful so far but tense with a strong police presence #POKrally #AbilaPost,2014-01-23T17:25:00
69,RT @ourcountryourrights we have to hold our officials accountable for their corruption #POK,2014-01-23T17:25:00
70,RT @ReggieWassali awesome to see all the people supporting environment corporate & govt responsibilty community activism! #POKRally,2014-01-23T17:25:00
71,RT @CentralBulletin POK rally is peaceful but tense with strong police presence #Abila #CentralBulletin,2014-01-23T17:25:31
72,RT @CentralBulletin POK rally is peaceful but tense with strong police presence #Abila #CentralBulletin,2014-01-23T17:25:31
73,RT @truccotrucco Lucio Jakab tells it like it is #POK #SOW,2014-01-23T17:25:47
74,RT @AbilaPost POK rally is peaceful so far but tense with a strong police presence #POKrally #AbilaPost,2014-01-23T17:26:00
75,RT @AbilaPost POK rally is peaceful so far but tense with a strong police presence #POKrally #AbilaPost,2014-01-23T17:26:00
76,RT @AbilaPost POK rally is peaceful so far but tense with a strong police presence #POKrally #AbilaPost,2014-01-23T17:26:00
77,RT @AbilaPost POK rally is peaceful so far but tense with a strong police presence #POKrally #AbilaPost,2014-01-23T17:26:00
78,RT @choconibbs @TomaToma kidnapping is a crime #fact #POKRally,2014-01-23T17:26:51
79,RT @stuffNstuff Viktor-E will be playing our party next Tuesday - hear him now! #pokrally,2014-01-23T17:26:51
80,RT @choconibbs @Sara people first; environment second,2014-01-23T17:27:25
81,RT @CentralBulletin POK rally is peaceful but tense with strong police presence #Abila #CentralBulletin,2014-01-23T17:27:31
82,RT @CentralBulletin POK rally is peaceful but tense with strong police presence #Abila #CentralBulletin,2014-01-23T17:27:31
83,RT @CentralBulletin POK rally is peaceful but tense with strong police presence #Abila #CentralBulletin,2014-01-23T17:27:31
84,RT @SaveOurWildlands Jakab says the wildlands are a legacy for our children,2014-01-23T17:27:37
85,RT @CentralBulletin estimates of POK rally has attendance at 1200 people #Abila #CentralBulletin,2014-01-23T17:27:42
86,RT @CentralBulletin estimates of POK rally has attendance at 1200 people #Abila #CentralBulletin,2014-01-23T17:27:42
87,RT @maha_Homeland Inspirational talk from Lucio Jakab:  Make a difference today,2014-01-23T17:27:58
88,RT @POK Jakab: Our survival and quality of life is tied to survivial of species,2014-01-23T17:28:00
89,RT @AbilaPost POK rally is peaceful so far but tense with a strong police presence #POKrally #AbilaPost,2014-01-23T17:28:00
90,RT @AbilaPost POK rally is peaceful so far but tense with a strong police presence #POKrally #AbilaPost,2014-01-23T17:28:00
91,RT @footfingers President Kapelou is a stooge for greeddy Tethan corperations #POK�,2014-01-23T17:28:00
92,RT @CentralBulletin estimates of POK rally has attendance at 1200 people #Abila #CentralBulletin,2014-01-23T17:28:42
93,RT @CentralBulletin estimates of POK rally has attendance at 1200 people #Abila #CentralBulletin,2014-01-23T17:28:42
94,RT @CentralBulletin estimates of POK rally has attendance at 1200 people #Abila #CentralBulletin,2014-01-23T17:28:42
95,RT @CentralBulletin estimates of POK rally has attendance at 1200 people #Abila #CentralBulletin,2014-01-23T17:28:42
96,RT @FriendsOfKronos 1200 terrorists in Abila City Park and the police does nothing #POK #terrorists,2014-01-23T17:28:58
97,RT @choconibbs My dog is howling better than ViktorTree at #POKRally,2014-01-23T17:29:02
98,RT @SaveOurWildlands Celebrate National Scarlet Cormorant Day! SOW.kronos/helpnow,2014-01-23T17:29:45
99,RT @AbilaPost #APD has closed Parla St from Egeou St North to Alm St due to size of POK rally #AbilaPost,2014-01-23T17:31:00
100,RT @AbilaPost #APD has closed Parla St from Egeou St North to Alm St due to size of POK rally #AbilaPost,2014-01-23T17:32:00
101,RT @FriendsOfKronos #APD has closed surrounding streets of POK rally is it crackdown time? hope so,2014-01-23T17:32:04
102,RT @AbilaPost #APD has closed Parla St from Egeou St North to Alm St due to size of POK rally #AbilaPost,2014-01-23T17:33:00
103,RT @CentralBulletin police have closed streets surrounding POK rally in Abila #Abila #CentralBulletin,2014-01-23T17:33:45
104,RT @CentralBulletin police have closed streets surrounding POK rally in Abila #Abila #CentralBulletin,2014-01-23T17:33:45
105,RT @Viktor-E Bert Hanns grew up on a small farm near the Notios Mountain Range,2014-01-23T17:34:04
106,RT @CentralBulletin police have closed streets surrounding POK rally in Abila #Abila #CentralBulletin,2014-01-23T17:34:45
107,RT @CentralBulletin police have closed streets surrounding POK rally in Abila #Abila #CentralBulletin,2014-01-23T17:34:45
108,RT @maha_Homeland Viktor-E playing 'River Soldiers' - such a bittersweet haunting song,2014-01-23T17:36:00
109,"RT @Officia1AbilaPost Elian discovered alive, living in Tethys. smad.co.kronos/xx3942",2014-01-23T17:36:55
110,RT @FriendsOfKronos figured it out: POK are hippy terrorists,2014-01-23T17:37:38
111,RT @truthforcadau great new song from Viktor-E! River Soldiers is so powerful #POKRallyinthePark #viktor-e,2014-01-23T17:41:02
112,RT @ReggieWassali River Soldiers new favorite! #Viktor-E #POKRally,2014-01-23T17:42:14
113,RT @junk99902 Booking Abila City Park for the Human Trafficking rally in March #SavePeople,2014-01-23T17:43:00
114,RT @POK Bert invites everyone to sing along with their next song,2014-01-23T17:43:56
115,RT @Officia1AbilaPost Abila police corruption scandal - the #POK connection.  smad.co.kronos/1s923k9,2014-01-23T17:44:00
116,RT @Viktor-E Bert credits Joni Mitchell with inspiring him to show his community activism through music.,2014-01-23T17:44:09
117,RT @footfingers corrupt Tethan corporations pollute your land and kill your children #POK,2014-01-23T17:45:00
118,RT @POK everyone here at the POK Rally in the Park is singing along with Viktor-E to Mitchell's Big Yellow Taxi,2014-01-23T17:46:31
119,RT @maha_Homeland Viktor-E is bringing their special blend of inspiration and music to the POK Rally in the Park!,2014-01-23T17:48:00
120,RT @truthforcadau Viktor-E should collaborate with Joni Mitchell #wishfulthinking,2014-01-23T17:50:00
121,RT @Viktor-E Viktor-E wants to thank all the fans who have turned out for a great rally today.,2014-01-23T17:50:27
122,RT @SaveOurWildlands Scientists warn of ?devastation beyond belief?: SOW.kronos/climatechange/distafano_interview,2014-01-23T17:51:00
123,RT @ourcountryourrights Professor Di Stefano knows they're killing us slowly with their corruption and corporate greed #POK,2014-01-23T17:54:59
124,RT @maha_Homeland Prof De Stefano teaches environmental science at the University of Abila,2014-01-23T17:55:23
125,RT @AbilaPost Environmental Science Professor Lorenzo Di Stefano of U. of Abila is addressing the raly #POKrally #AbilaPost,2014-01-23T17:56:48
126,RT @AbilaPost Environmental Science Professor Lorenzo Di Stefano of U. of Abila is addressing the raly #POKrally #AbilaPost,2014-01-23T17:57:48
127,RT @POK Sustainability and responsible business practices are crucial to the success of our society,2014-01-23T17:58:00
128,RT @SaveOurWildlands How to power your radio with vegetables:  SOW.kronos/greenliving,2014-01-23T17:59:00
129,RT @ourcountryourrights demand accountability in government #POK,2014-01-23T18:04:05
130,RT @choconibbs Back at the #POKLiesinthePark #POKRallyinthePark,2014-01-23T18:05:01
131,RT @choconibbs Dr D'Strange-o talking to a bunch of glassy eyed sheep! #POKLove,2014-01-23T18:05:30
132,RT @choconibbs Over 10 years ago people. #getoverit #POKRally,2014-01-23T18:06:15
133,RT @choconibbs @Sara POK says we kidnap and extort for Poor Julie #hogwash,2014-01-23T18:06:49
134,"RT @choconibbs Go back to your farms, you sheep #baa-baa #POKRally",2014-01-23T18:08:35
135,RT @choconibbs @Sara I'm angry over all the kids who got sick then,2014-01-23T18:08:37
136,RT @POK Prof De Stefano concludes his remarksand receives thundering applause,2014-01-23T18:11:27
137,RT @SaveOurWildlands Dr. Newman won the Rachel Carson Award in 2004 and the Goldman Environmental Prize in 1998,2014-01-23T18:13:03
138,RT @choconibbs @JohnP Sure I'll shut up #stickyrheadinsomegelato #POKRally,2014-01-23T18:13:11
139,RT @choconibbs Dr Audrey-Rotter comes from the USA! #couldthisgetworse? #POKRally,2014-01-23T18:13:54
140,RT @choconibbs Slippery Sylvia introduces Dr. Rotter  #POKRally,2014-01-23T18:14:02
141,RT @POK Dr. Newman believes education and community action are crucial to the environmental movement.,2014-01-23T18:16:13
142,RT @AbilaPost Dr Audrey McConnell Newman begins her remarks #POKrally #AbilaPost,2014-01-23T18:16:14
143,RT @AbilaPost Dr Audrey McConnell Newman begins her remarks #POKrally #AbilaPost,2014-01-23T18:16:14
144,RT @AbilaPost Dr Audrey McConnell Newman begins her remarks #POKrally #AbilaPost,2014-01-23T18:16:14
145,RT @AbilaPost Dr Audrey McConnell Newman begins her remarks #POKrally #AbilaPost,2014-01-23T18:16:14
146,RT @AbilaPost Dr Audrey McConnell Newman begins her remarks #POKrally #AbilaPost,2014-01-23T18:17:14
147,RT @AbilaPost Dr Audrey McConnell Newman begins her remarks #POKrally #AbilaPost,2014-01-23T18:17:14
148,RT @POK Audrey Newman is an internationally known environmental activist. Follow her at @AudreyNewmanWorld,2014-01-23T18:18:14
149,RT @SaveOurWildlands Great article about why education is the key to saving our wildlands: SOW.kronos/classes,2014-01-23T18:19:14
150,RT @AbilaPost Dr Audrey McConnell Newman begins her remarks #POKrally #AbilaPost,2014-01-23T18:19:14
151,RT @AbilaPost Dr Audrey McConnell Newman begins her remarks #POKrally #AbilaPost,2014-01-23T18:19:14
152,RT @maha_Homeland Dr. Newman inspired by American Saul Alinsky-author of 'Rules for Radicals',2014-01-23T18:20:55
153,"RT @choconibbs ""Songs of the Rotters""""?  #POKRally""""",2014-01-23T18:21:55
154,RT @SaveOurWildlands Dr. Newman is saying that education is the key to being an effective leader and community organizer,2014-01-23T18:24:44
155,RT @SaveOurWildlands We need your help!: SOW.kronos/helpnow,2014-01-23T18:29:00
156,RT @FriendsOfKronos listen to Dr Newman totally discredit herself to the rest of the world good carreer move doc #POK #terror,2014-01-23T18:31:00
157,RT @anaregents Dr. Newman's speech is moving. Activism is people acting�for the people!�#POKrally,2014-01-23T18:32:00
158,"RT @ReggieWassali DrNewman """"real education is experience & particpation"""" the reason im here #POKRally""""",2014-01-23T18:34:00
159,RT @pashmina887 Can't wait until my cruise leaves this stinking island. #downwithkronos,2014-01-23T18:35:24
160,RT @truccotrucco not really feelin the Doc kinda wish Sylvia would just keep speaking #POK,2014-01-23T18:35:24
161,RT @maha_Homeland Dr. Newman advises activists to keep the pressure on and never let up,2014-01-23T18:36:21
162,RT @POK Get involved!: POK.kronos/join,2014-01-23T18:37:00
163,RT @FriendsOfKronos whos the enemy doc? the people of kronos? the kidnapped victims of POK terrror? ridiculous #POK,2014-01-23T18:37:00
164,RT @writinLazy Way to ruin a great day at the park! Stupid #POKRally,2014-01-23T18:41:10
165,RT @HomelandIlluminations Reports coming  in of a building fire at Achilleos & Madeg. #HI,2014-01-23T18:42:00
166,RT @HomelandIlluminations Reports coming  in of a building fire at Achilleos & Madeg. #HI,2014-01-23T18:43:00
167,RT @HomelandIlluminations Reports coming  in of a building fire at Achilleos & Madeg. #HI,2014-01-23T18:43:00
168,RT @OnlytheTruth Burn Abila burn! Reap the rewards of bowing to foreign capitalist pigs! #burnabila,2014-01-23T18:43:00
169,RT @POK Dr. Newman reminds us of how far we've come and how many heroes we've lost. Never forget Elian.,2014-01-23T18:43:00
170,RT @InternationalNews Fire at the Dancing Dolphin apartment complex. #Abila #IntNews,2014-01-23T18:43:45
171,RT @HomelandIlluminations Reports coming  in of a building fire at Achilleos & Madeg. #HI,2014-01-23T18:44:00
172,RT @HomelandIlluminations Reports coming  in of a building fire at Achilleos & Madeg. #HI,2014-01-23T18:44:00
173,RT @KronosStar Abila Fire Department has dispatched 2 units to a possible fire at the Dancing Dolphin apartment complex. #KronosStar,2014-01-23T18:44:10
174,RT @KronosStar Abila Fire Department has dispatched 2 units to a possible fire at the Dancing Dolphin apartment complex. #KronosStar,2014-01-23T18:44:10
175,"RT @trollingsnark Hut hut hut! Here comes the government to """"save"""" you from the """"fire""""! #goonsquad""""",2014-01-23T18:44:10
176,RT @InternationalNews Fire at the Dancing Dolphin apartment complex. #Abila #IntNews,2014-01-23T18:44:45
177,RT @InternationalNews Fire at the Dancing Dolphin apartment complex. #Abila #IntNews,2014-01-23T18:44:45
178,RT @InternationalNews Fire at the Dancing Dolphin apartment complex. #Abila #IntNews,2014-01-23T18:44:45
179,RT @InternationalNews Fire at the Dancing Dolphin apartment complex. #Abila #IntNews,2014-01-23T18:44:45
180,RT @HomelandIlluminations Reports coming  in of a building fire at Achilleos & Madeg. #HI,2014-01-23T18:45:00
181,RT @HomelandIlluminations Reports coming  in of a building fire at Achilleos & Madeg. #HI,2014-01-23T18:45:00
182,RT @HomelandIlluminations Reports coming  in of a building fire at Achilleos & Madeg. #HI,2014-01-23T18:45:00
183,"RT @trollingsnark Look at that, another fire and nobody seems to care #apathetic",2014-01-23T18:45:00
184,RT @SaveOurWildlands Climate change is the greatest threat of our generation.  Act now or suffer the consequences: SOW.kronos/climatechange,2014-01-23T18:45:00
185,RT @HomelandIlluminations Building fire at Achilleos and Madeg. Responders dispatched. #HI,2014-01-23T18:45:00
186,RT @KronosStar Abila Police Department has sent two units to the fire at the Dancing Dolphin apartments. #KronosStar,2014-01-23T18:45:22
187,RT @KronosStar Abila Police Department has sent two units to the fire at the Dancing Dolphin apartments. #KronosStar,2014-01-23T18:45:22
188,"RT @HerraTomas Oh dear, a fire coming through on the scanner #abilawatcher",2014-01-23T18:45:28
189,RT @InternationalNews Fire at the Dancing Dolphin apartment complex. #Abila #IntNews,2014-01-23T18:45:45
190,RT @InternationalNews Fire at the Dancing Dolphin apartment complex. #Abila #IntNews,2014-01-23T18:45:45
191,RT @InternationalNews Fire at the Dancing Dolphin apartment complex. #Abila #IntNews,2014-01-23T18:45:45
192,RT @HomelandIlluminations Building fire at Achilleos and Madeg. Responders dispatched. #HI,2014-01-23T18:46:00
193,RT @HomelandIlluminations Building fire at Achilleos and Madeg. Responders dispatched. #HI,2014-01-23T18:46:00
194,RT @HomelandIlluminations Building fire at Achilleos and Madeg. Responders dispatched. #HI,2014-01-23T18:46:00
195,RT @trollingsnark THere we go! Bring out the instruments of governmental oppression.,2014-01-23T18:46:00
196,RT @AbilaPost The location of the fire has been identified as the Dancing Dolphin Apartment complex #AbilaPost,2014-01-23T18:46:00
197,RT @AbilaPost The location of the fire has been identified as the Dancing Dolphin Apartment complex #AbilaPost,2014-01-23T18:46:00
198,RT @HomelandIlluminations Staff reporter en route to fire at Madeg. Reports of fire trucks on site. #HI,2014-01-23T18:46:00
199,RT @HomelandIlluminations Staff reporter en route to fire at Madeg. Reports of fire trucks on site. #HI,2014-01-23T18:46:00
200,RT @HomelandIlluminations Staff reporter en route to fire at Madeg. Reports of fire trucks on site. #HI,2014-01-23T18:46:00
201,RT @AbilaFireDept Abila Fire Department has dispatched two fire trucks to the Dancing?Dolphin apartments at?Achilleos & Madeg #AFD?,2014-01-23T18:46:10
202,RT @KronosStar Abila Police Department has sent two units to the fire at the Dancing Dolphin apartments. #KronosStar,2014-01-23T18:46:22
203,RT @KronosStar Abila Police Department has sent two units to the fire at the Dancing Dolphin apartments. #KronosStar,2014-01-23T18:46:22
204,RT @OnlytheTruth FIRE FIRE FIRE!! YESSSSS! #burnabilaburn,2014-01-23T18:46:22
205,RT @FriendsOfKronos dr newman what a joke #POK #terror,2014-01-23T18:46:45
206,RT @HomelandIlluminations Building fire at Achilleos and Madeg. Responders dispatched. #HI,2014-01-23T18:47:00
207,RT @HomelandIlluminations Building fire at Achilleos and Madeg. Responders dispatched. #HI,2014-01-23T18:47:00
208,RT @InternationalNews Continuing fire at the Dancing Dolphin apartment #Abila #IntNews,2014-01-23T18:47:00
209,RT @AbilaPost The location of the fire has been identified as the Dancing Dolphin Apartment complex #AbilaPost,2014-01-23T18:47:00
210,RT @AbilaPost The location of the fire has been identified as the Dancing Dolphin Apartment complex #AbilaPost,2014-01-23T18:47:00
211,RT @AbilaPost The location of the fire has been identified as the Dancing Dolphin Apartment complex #AbilaPost,2014-01-23T18:47:00
212,RT @dangermice Fire trucks are arriving at the dancing dolphin #abilaFire,2014-01-23T18:47:00
213,RT @POK Connect with the POK community: POK.kronos/join,2014-01-23T18:47:00
214,RT @KronosStar Police have arrived at the fire and are helping manage the scene. #KronosStar,2014-01-23T18:47:21
215,RT @KronosStar Abila Police Department has sent two units to the fire at the Dancing Dolphin apartments. #KronosStar,2014-01-23T18:47:22
216,RT @KronosStar Abila Police Department has sent two units to the fire at the Dancing Dolphin apartments. #KronosStar,2014-01-23T18:47:22
217,RT @KronosStar Abila Police Department has sent two units to the fire at the Dancing Dolphin apartments. #KronosStar,2014-01-23T18:47:22
218,RT @HomelandIlluminations Homeland Illumation on site.  Flames visible from second floor of six floor apartment building. #HI,2014-01-23T18:47:31
219,RT @HomelandIlluminations Homeland Illumation on site.  Flames visible from second floor of six floor apartment building. #HI,2014-01-23T18:47:31
220,RT @HomelandIlluminations Building fire at Achilleos and Madeg. Responders dispatched. #HI,2014-01-23T18:48:00
221,RT @HomelandIlluminations Building fire at Achilleos and Madeg. Responders dispatched. #HI,2014-01-23T18:48:00
222,RT @InternationalNews Continuing fire at the Dancing Dolphin apartment #Abila #IntNews,2014-01-23T18:48:00
223,RT @AbilaPost The location of the fire has been identified as the Dancing Dolphin Apartment complex #AbilaPost,2014-01-23T18:48:00
224,RT @AbilaPost The location of the fire has been identified as the Dancing Dolphin Apartment complex #AbilaPost,2014-01-23T18:48:00
225,"RT @truthforcadau very inspiring speech from Dr Newman ""you can make a differnece, together you can make change"" #POKRallyinthepark",2014-01-23T18:48:00
226,RT @FriendsOfKronos thanks for ending your terrorist propaganda doc #POK #terror,2014-01-23T18:48:00
227,RT @HomelandIlluminations No word yet on residents in Dancing Dolphin. #HI,2014-01-23T18:48:00
228,RT @HomelandIlluminations Police report the building is being searched for occupants. #HI,2014-01-23T18:48:00
229,RT @HomelandIlluminations Police report the building is being searched for occupants. #HI,2014-01-23T18:48:00
230,RT @HomelandIlluminations Police report the building is being searched for occupants. #HI,2014-01-23T18:48:00
231,RT @HomelandIlluminations Police report the building is being searched for occupants. #HI,2014-01-23T18:48:00
232,RT @AbilaPost unclear how many people are still inside the building #AbilaPost,2014-01-23T18:48:09
233,RT @AbilaPost unclear how many people are still inside the building #AbilaPost,2014-01-23T18:48:09
234,RT @cleaningFish where's the rave in East Abila tomorrow night? #Abila #rave,2014-01-23T18:48:11
235,RT @KronosStar Abila Police Department has sent two units to the fire at the Dancing Dolphin apartments. #KronosStar,2014-01-23T18:48:22
236,RT @HomelandIlluminations Homeland Illumation on site.  Flames visible from second floor of six floor apartment building. #HI,2014-01-23T18:48:31
237,RT @AbilaPost The location of the fire has been identified as the Dancing Dolphin Apartment complex #AbilaPost,2014-01-23T18:49:00
238,RT @HomelandIlluminations Staff reporter en route to fire at Madeg. Reports of fire trucks on site. #HI,2014-01-23T18:49:00
239,RT @HomelandIlluminations No word yet on residents in Dancing Dolphin. #HI,2014-01-23T18:49:00
240,RT @HomelandIlluminations No word yet on residents in Dancing Dolphin. #HI,2014-01-23T18:49:00
241,RT @HomelandIlluminations No word yet on residents in Dancing Dolphin. #HI,2014-01-23T18:49:00
242,RT @HomelandIlluminations Police report the building is being searched for occupants. #HI,2014-01-23T18:49:00
243,RT @HomelandIlluminations Police report the building is being searched for occupants. #HI,2014-01-23T18:49:00
244,RT @HomelandIlluminations Residents  trickling out of Dancing Dolphin. #HI,2014-01-23T18:49:00
245,RT @mamin Is anyone taking donations for #AbilaFire?,2014-01-23T18:49:02
246,RT @KronosStar Abila Fire Department has dispatched an ambulance to assist at the Dancing Dolphin fire. #KronosStar,2014-01-23T18:49:03
247,RT @KronosStar Abila Fire Department has dispatched an ambulance to assist at the Dancing Dolphin fire. #KronosStar,2014-01-23T18:49:03
248,RT @KronosStar Abila Fire Department has dispatched an ambulance to assist at the Dancing Dolphin fire. #KronosStar,2014-01-23T18:49:03
249,RT @Viktor-E Bert Hanns tells rally how he draws inspiration from the historical persons,2014-01-23T18:49:03
250,RT @InternationalNews Fire growing at the Dancing Dolphin fire. #abila #IntNews,2014-01-23T18:49:19
