,type,date(yyyyMMddHHmmss),author,message,latitude,longitude, location
50,mbdata,20140123183544,KronosQuoth,to accomplish great thing must act also dream plan also believ pokral hi,,,
51,mbdata,20140123183544,KronosQuoth,rememb one make feel inferior without consent   kronosstar pokral,,,
52,mbdata,20140123183544,KronosQuoth,we easili forgiv child afraid dark real tragedi life men afraid light   kronosstar pokral,,,
53,mbdata,20140123183614,KronosQuoth,the person destin becom person decid   kronosstar pokral,,,
54,mbdata,20140123183614,KronosQuoth,the mind everyth what think becom    kronosstar pokral,,,
55,mbdata,20140123183614,KronosQuoth,"i fail i ve found 10,000 way wo n't work   pokral hi",,,
56,mbdata,20140123183614,KronosQuoth,there chanc destini fate hinder control firm resolv determin soul   pokral hi,,,
57,mbdata,20140123183621,blueSunshine,rt @maha_homeland dr. newman advis activist keep pressur never let,,,
58,mbdata,20140123183637,KronosQuoth,we becom think   kronosstar pokral,,,
59,mbdata,20140123183637,Clevvah4Evah,april 31 2013 alway rememb date pok ralli grammar,,,
60,mbdata,20140123183659,KronosQuoth,it 's look matter 's see   pokral hi,,,
61,mbdata,20140123183700,wiseWords,rt @pok get involv pok.kronos/join,,,
62,mbdata,20140123183700,brain448,rt @friendsofkrono enemi doc peopl krono kidnap victim pok terrror ridicul pok,,,
63,mbdata,20140123183719,KronosQuoth,the place success come work dictionari   pokral hi,,,
64,ccdata,20140123183725,,busi check,,,3799 N. Taxiarchon Ave
65,mbdata,20140123183742,KronosQuoth,when stop chase wrong thing give right thing chanc catch   pokral hi,,,
66,mbdata,20140123183800,GreyCatCollectibles,just call 555 cat i need get,,,
67,mbdata,20140123183800,ourcountryourrights,we never forget murder elian justiceforelian pok,,,
68,ccdata,20140123183800,,traffic stop,,,N. Bilar St / N. Ketallinias St
69,mbdata,20140123183809,KronosQuoth,trust will accept risk 's safe certain   pokral hi,,,
70,mbdata,20140123183809,KronosQuoth,onli put tomorrow will die left undon   pokral hi,,,
71,mbdata,20140123183809,KronosQuoth,it 's look matter 's see   pokral hi,,,
72,mbdata,20140123183829,KronosQuoth,life measur number breath take moment take breath away   kronosstar pokral,,,
73,mbdata,20140123183829,Clevvah4Evah,pleas except gift appreci pok ralli grammar,,,
74,mbdata,20140123183829,Clevvah4Evah,do nt loos way dark go home pok ralli grammar,,,
75,mbdata,20140123183829,KronosQuoth,you measur size accomplish obstacl overcom reach goal   pokral hi,,,
76,mbdata,20140123183857,KronosQuoth,teach thi tongu say i know thous shalt progress   kronosstar pokral,,,
77,mbdata,20140123183857,reggierockin776,fyi websit badprofiles.kronos/tacki spread nasti blog around gettingfir,,,
78,mbdata,20140123183857,Clevvah4Evah,pleas except gift appreci pok ralli grammar,,,
79,mbdata,20140123183857,Clevvah4Evah,what number pin number pok ralli grammar,,,
80,mbdata,20140123183922,KronosQuoth,courag resist fear masteri fear absens fear   pokral hi,,,
81,mbdata,20140123183922,KronosQuoth,there two type peopl tell make differ world pokral hi,,,
82,mbdata,20140123183922,eazymoney,how 's credit rate need boost fixit.kronos/creditr abila badcredit,,,
83,mbdata,20140123183948,KronosQuoth,if want lift lift someon els   kronosstar pokral,,,
84,mbdata,20140123183948,KronosQuoth,do n't let fear lose greater excit win   pokral hi,,,
85,mbdata,20140123183948,junkman377,cheap car sale no question ask   cars.kronos/chopp   abila van car,,,
86,mbdata,20140123183948,KronosQuoth,i nt fail test i found 100 way wrong   kronosstar pokral,,,
87,mbdata,20140123184000,POK,pok volunt take action clean river pok.kronos/ev,,,
88,mbdata,20140123184000,SaveOurWildlands,10 thing save wildland sow.kronos/helpnow,,,
89,mbdata,20140123184000,ourcountryourrights,we make differ togeth just?lik gastech?#pok,,,
90,mbdata,20140123184000,footfingers,real power come take futur hand pok,36.054,24.902,
91,ccdata,20140123184000,,possibl fire report,,,N. Achilleos St / N. Madeg St
92,ccdata,20140123184000,,possibl fire report,,,N. Madeg St / N. Acera St
93,mbdata,20140123184010,writinLazy,way ruin great day park stupid pokral,,,
94,mbdata,20140123184017,KronosQuoth,rememb get want sometim wonder stroke luck   kronosstar pokral,,,
95,mbdata,20140123184017,KronosQuoth,in experi one motiv desir no reason principl contain stand   pokral hi,,,
96,ccdata,20140123184032,,incomplet call for polic,,,
97,mbdata,20140123184037,Clevvah4Evah,pleas except gift appreci pok ralli grammar,,,
98,mbdata,20140123184100,HomelandIlluminations,report come   build fire achilleo madeg hi,,,
99,mbdata,20140123184100,yomamma,sound like 's fire heard scanner,,,
100,mbdata,20140123184100,trollingsnark,look anoth fire nobodi seem care apathet,,,
101,mbdata,20140123184100,OnlytheTruth,burn abila burn reap reward bow foreign capitalist pig burnabila,,,
102,mbdata,20140123184100,writinLazy,eat steakhous keep set food fire fire,,,
103,mbdata,20140123184100,POK,dr. newman remind us far ve come mani hero ve lost never forget elian,,,
104,mbdata,20140123184100,SaveOurWildlands,climat chang greatest threat generat   act suffer consequ sow.kronos/climatechang,,,
105,ccdata,20140123184100,,misdemeanor assault in progress,,,Makedonias St / S. Palmant St
106,mbdata,20140123184100,KronosQuoth,eighti percent success show   kronosstar pokral,,,
107,mbdata,20140123184110,BlueVelvet,rt @writinlazi way ruin great day park stupid pokral,,,
108,mbdata,20140123184130,KronosQuoth,you must expect great thing   pokral hi,,,
109,mbdata,20140123184130,whiteprotein,hi i advis visit link hottips.kronos/trad abila,,,
110,mbdata,20140123184130,cminvestments11,i trust goodstuff.kronos/link abilasfinest,,,
111,mbdata,20140123184130,cminvestments11,easi credit card get re worth easycredit.kronos/morecredit abila nobank,,,
112,mbdata,20140123184150,KronosQuoth,the question nt go let go stop   kronosstar pokral,,,
113,mbdata,20140123184150,meds4realz43,i lost bunch weight stuff work look news articl diet.kronos/starvenow   abila bestfood,,,
114,mbdata,20140123184150,KronosQuoth,you ca nt fall nt climb   but joy live whole life ground   kronosstar pokral,,,
115,mbdata,20140123184200,joyce101,rt @homelandillumin report come   build fire achilleo madeg hi,,,
116,mbdata,20140123184210,KronosStar,abila fire depart dispatch 2 unit possibl fire danc dolphin apart complex kronosstar,,,
117,mbdata,20140123184210,AbilaFireDept,abila fire depart dispatch two fire truck dancing?dolphin apart at?achilleo madeg afd,,,
118,mbdata,20140123184210,dangermice,think dancin dolphin fire,36.059,24.894,
119,mbdata,20140123184210,trollingsnark,hut hut hut here come govern save fire goonsquad,,,
120,mbdata,20140123184210,SaveOurWildlands,inspir stori four peopl made differ krono wildland sow.kronos/environmentalhero,,,
121,mbdata,20140123184210,Viktor-E,viktor e perform abila coffe hous everi friday month viktor-e.kronos/schedul,,,
122,ccdata,20140123184210,,fire medic need fire truck 41 and 57 dispatch to fire,,,N. Achilleos St / N. Madeg St
123,mbdata,20140123184216,KronosQuoth,develop success failur discourag failur two surest step stone success   pokral hi,,,
124,mbdata,20140123184216,KronosQuoth,whether think think ca nt right   kronosstar pokral,,,
125,mbdata,20140123184245,InternationalNews,fire danc dolphin apart complex abila intnew,,,
126,mbdata,20140123184245,POK,join next pok ralli pok.kronos/ev,,,
127,mbdata,20140123184245,FriendsOfKronos,dr newman joke pok terror,,,
128,ccdata,20140123184245,,disturb nois,,,3455 N. Anntigonou St
129,mbdata,20140123184246,KronosQuoth,challeng make life interest overcom make life meaning   kronosstar pokral,,,
130,mbdata,20140123184300,muppiesRock,rt @homelandillumin report come   build fire achilleo madeg hi,,,
131,mbdata,20140123184300,luvMyPants,rt @homelandillumin report come   build fire achilleo madeg hi,,,
132,mbdata,20140123184300,vonneka,rt @onlythetruth burn abila burn reap reward bow foreign capitalist pig burnabila,,,
133,mbdata,20140123184300,joyce101,rt @pok dr. newman remind us far ve come mani hero ve lost never forget elian,,,
134,mbdata,20140123184304,NewsOnlineToday,build fire achilleo madeg abila newsonlin,,,
135,mbdata,20140123184304,GreyCatCollectibles,made problem but wish fire depart would get,,,
136,ccdata,20140123184304,,traffic stop,,,N. Mattadou St / N. Anntigonou St
137,mbdata,20140123184309,KronosQuoth,our greatest fear failur succeed thing life n't realli matter   pokral hi,,,
138,ccdata,20140123184321,,all unit broadcast build fire,,,N. Achilleos St / N. Madeg St
139,mbdata,20140123184328,redisrad,yike look smoke look like someon 's big bonfir,,,
140,mbdata,20140123184328,HerraTomas,oh dear fire come scanner abilawatch,,,
141,ccdata,20140123184328,,vandal report,,,N. Eira St / N. Sina Way
142,mbdata,20140123184329,KronosQuoth,we becom think   kronosstar pokral,,,
143,mbdata,20140123184345,jaques,rt @internationalnew fire danc dolphin apart complex abila intnew,,,
144,mbdata,20140123184356,KronosQuoth,you anyth everyth   pokral hi,,,
145,mbdata,20140123184356,KronosQuoth,peopl succeed momentum the succeed want succeed find way succeed pokral hi,,,
146,mbdata,20140123184356,KronosQuoth,courag resist fear masteri fear absens fear   pokral hi,,,
147,mbdata,20140123184400,dtennent,rt @homelandillumin report come   build fire achilleo madeg hi,,,
148,mbdata,20140123184400,plasticParts,rt @homelandillumin report come   build fire achilleo madeg hi,,,
149,mbdata,20140123184400,HomelandIlluminations,build fire achilleo madeg respond dispatch hi,,,
150,mbdata,20140123184400,martaflores,omg i think buidl fire,,,
151,mbdata,20140123184400,trollingsnark,there go bring instrument government oppress,,,
152,ccdata,20140123184400,,polic need polic unit 101 and 220 dispatch to fire,,,N. Achilleos St / N. Madeg St
153,mbdata,20140123184401,AbilaPost,polic fire unit dispatch achilleo madeg respons fire abilapost,,,
154,mbdata,20140123184410,rrWine,rt @kronosstar abila fire depart dispatch 2 unit possibl fire danc dolphin apart complex kronosstar,,,
155,mbdata,20140123184410,dolls4sale,rt @kronosstar abila fire depart dispatch 2 unit possibl fire danc dolphin apart complex kronosstar,,,
156,mbdata,20140123184410,vonneka,rt @trollingsnark hut hut hut here come govern save fire goonsquad,,,
157,mbdata,20140123184420,KronosQuoth,when doubt punt   kronosstar pokral,,,
158,mbdata,20140123184420,KronosQuoth,either write someth worth read someth worth write   kronosstar pokral,,,
159,mbdata,20140123184422,KronosStar,abila polic depart sent two unit fire danc dolphin apart kronosstar,,,
160,mbdata,20140123184422,CentralBulletin,build fire report east abila polic fire dispatch abila centralbulletin,,,
161,mbdata,20140123184441,trollingsnark,would n't surpris distract us pok ralli,,,
162,mbdata,20140123184441,AbilaPost,dr. newman wrap speech pokral abilapost,,,
163,mbdata,20140123184441,anaregents,dr. newman say powr make chang join us pok,,,
164,ccdata,20140123184441,,alarm secur no crime,,,2112 N. Aveny St
165,mbdata,20140123184443,KronosQuoth,you may disappoint fail doom nt tri   kronosstar pokral,,,
166,mbdata,20140123184443,cheapgoods998,i recommend site abila dates.kronos/clickher,,,
167,mbdata,20140123184445,slamrjamr,rt @internationalnew fire danc dolphin apart complex abila intnew,,,
168,mbdata,20140123184445,henri,rt @internationalnew fire danc dolphin apart complex abila intnew,,,
169,mbdata,20140123184445,wiseWords,rt @internationalnew fire danc dolphin apart complex abila intnew,,,
170,mbdata,20140123184445,sarajane,rt @internationalnew fire danc dolphin apart complex abila intnew,,,
171,mbdata,20140123184500,worldWatcher,rt @homelandillumin report come   build fire achilleo madeg hi,,,
172,mbdata,20140123184500,BlueVelvet,rt @homelandillumin report come   build fire achilleo madeg hi,,,
173,mbdata,20140123184500,dtennent,rt @homelandillumin report come   build fire achilleo madeg hi,,,
174,mbdata,20140123184500,dtennent,rt @trollingsnark look anoth fire nobodi seem care apathet,,,
175,mbdata,20140123184500,jaques,rt @saveourwildland climat chang greatest threat generat   act suffer consequ sow.kronos/climatechang,,,
176,mbdata,20140123184500,ninjabob,rt @homelandillumin build fire achilleo madeg respond dispatch hi,,,
177,mbdata,20140123184500,InternationalNews,continu fire danc dolphin apart abila intnew,,,
178,mbdata,20140123184500,AbilaPost,the locat fire identifi danc dolphin apart complex abilapost,,,
179,mbdata,20140123184500,HomelandIlluminations,staff report en rout fire madeg report fire truck site hi,,,
180,mbdata,20140123184500,martaflores,help i ca n't get,,,
181,mbdata,20140123184500,dangermice,fire truck arriv danc dolphin abilafir,36.059,24.894,
182,mbdata,20140123184500,yomamma,someth go across street dog go crazi,,,
183,mbdata,20140123184500,HerraTomas,good go afd thank serivic,,,
184,mbdata,20140123184500,POK,break news toxic wast spill tethi youtube.kronos/dt83neln,,,
185,mbdata,20140123184500,SaveOurWildlands,how set home recycl program sow.kronos/recycl,,,
186,mbdata,20140123184500,truthforcadau,inspir speech dr newman make differnec togeth make chang pokrallyinthepark,36.051,24.854,
187,mbdata,20140123184500,FriendsOfKronos,thank end terrorist propaganda doc pok terror,,,
188,mbdata,20140123184500,Officia1AbilaPost,abilafir mass casualti report smad.co.kronos/b39x02r,,,
189,mbdata,20140123184507,KronosQuoth,all dream come true courag pursu   pokral hi,,,
190,mbdata,20140123184507,KronosQuoth,littl mind tame subdu misfortun great mind rise   pokral hi,,,
191,mbdata,20140123184507,KronosQuoth,everi strike bring closer next home run   kronosstar pokral,,,
192,mbdata,20140123184507,Clevvah4Evah,serv filay minion tonit pok ralli grammar,,,
193,mbdata,20140123184522,wireHead1122,rt @kronosstar abila polic depart sent two unit fire danc dolphin apart kronosstar,,,
194,mbdata,20140123184522,dolls4sale,rt @kronosstar abila polic depart sent two unit fire danc dolphin apart kronosstar,,,
195,mbdata,20140123184522,CentralBulletin,danc dolphin apart complex identifi locat abila fire abila centralbulletin,,,
196,mbdata,20140123184522,HomelandIlluminations,smoke first two floor danc dolphin apart fire offici site hi,,,
197,mbdata,20140123184522,redisrad,build fire street gladitsnotmyhous,,,
198,mbdata,20140123184522,OnlytheTruth,fire fire fire yesssss burnabilaburn,,,
199,mbdata,20140123184522,POK,up next local band viktor e play favorit,,,
200,mbdata,20140123184522,Viktor-E,viktor e sing stand up speak up sing along lyric avail mobil devic viktor-e.kronos/ourmusic/standupspeakup,,,
201,ccdata,20140123184522,,traffic stop,,,5066 N. Berlau St
202,mbdata,20140123184528,teresaJ,rt @herratoma oh dear fire come scanner abilawatch,,,
203,mbdata,20140123184531,KronosStar,smoke come window second floor danc dolphin apart kronosstar,,,
204,mbdata,20140123184531,HomelandIlluminations,homeland illum site   flame visibl second floor six floor apart build hi,,,
205,mbdata,20140123184531,OnlytheTruth,omgwtfbbq,,,
206,mbdata,20140123184532,NewsOnlineToday,flame visibl second floor danc dolphin apart abila newsonlin,,,
207,mbdata,20140123184532,trollingsnark,did someon tweet help obvious actor falseflag,,,
208,mbdata,20140123184532,writinLazy,anyon know danc dolphin apt look place aptsearch,,,
209,mbdata,20140123184532,POK,sylvia thank dr. newman park import day pok,,,
210,mbdata,20140123184532,FriendsOfKronos,apd arrest everyon spoken today start sylvia marek pok,,,
211,mbdata,20140123184538,KronosQuoth,i find harder i work luck i seem   pokral hi,,,
212,mbdata,20140123184538,KronosQuoth,happi someth readymad   it come action   kronosstar pokral,,,
213,mbdata,20140123184538,KronosQuoth,you may succeed desir succeed may fail mind fail   pokral hi,,,
214,mbdata,20140123184538,KronosQuoth,i attribut success i never gave took excus   kronosstar pokral,,,
215,mbdata,20140123184545,ninjabob,rt @internationalnew fire danc dolphin apart complex abila intnew,,,
216,mbdata,20140123184545,rnbwBrite,rt @internationalnew fire danc dolphin apart complex abila intnew,,,
217,mbdata,20140123184545,sarajane,rt @internationalnew fire danc dolphin apart complex abila intnew,,,
218,mbdata,20140123184547,AbilaPost,second floor six?of danc dolphin appear engulf flame abilapost,,,
219,mbdata,20140123184547,hempRules,wow intens fire,,,
220,mbdata,20140123184547,maha_Homeland,dr. newman conclus remark viktor e set return stage,,,
221,ccdata,20140123184547,,incomplet call for polic,,,
222,mbdata,20140123184600,slamrjamr,rt @homelandillumin build fire achilleo madeg respond dispatch hi,,,
223,mbdata,20140123184600,dragonRider1,rt @homelandillumin build fire achilleo madeg respond dispatch hi,,,
224,mbdata,20140123184600,zengardener,rt @homelandillumin build fire achilleo madeg respond dispatch hi,,,
225,mbdata,20140123184600,phantomagate,rt @trollingsnark there go bring instrument government oppress,,,
226,mbdata,20140123184600,henri,rt @abilapost the locat fire identifi danc dolphin apart complex abilapost,,,
227,mbdata,20140123184600,joyce101,rt @abilapost the locat fire identifi danc dolphin apart complex abilapost,,,
228,mbdata,20140123184600,stolkfair,rt @homelandillumin staff report en rout fire madeg report fire truck site hi,,,
229,mbdata,20140123184600,jgrobannne,rt @homelandillumin staff report en rout fire madeg report fire truck site hi,,,
230,mbdata,20140123184600,courage4life,rt @homelandillumin staff report en rout fire madeg report fire truck site hi,,,
231,mbdata,20140123184600,HomelandIlluminations,no word yet resid danc dolphin hi,,,
232,mbdata,20140123184600,GreyCatCollectibles,omg siren spook cat poor timmi,,,
233,mbdata,20140123184600,POK,connect pok communiti pok.kronos/join,,,
234,mbdata,20140123184600,ReggieWassali,thank dr newman pokral,,,
235,mbdata,20140123184601,cheapgoods998,how 's credit rate need boost fixit.kronos/creditr abila badcredit,,,
236,mbdata,20140123184601,KronosQuoth,teach thi tongu say i know thous shalt progress   kronosstar pokral,,,
237,mbdata,20140123184601,dealsRUs101,i found view profil find watch chirpwatch.kronos/watchm abila,,,
238,mbdata,20140123184601,KronosQuoth,happi someth readymad   it come action   kronosstar pokral,,,
239,mbdata,20140123184610,teresaJ,rt @abilafiredept abila fire depart dispatch two fire truck dancing?dolphin apart at?achilleo madeg afd,,,
240,mbdata,20140123184611,AbilaPost,2 polic unit arriv manag crowd abilapost,,,
241,mbdata,20140123184611,HomelandIlluminations,polic arriv danc dolphin fire hi,,,
242,mbdata,20140123184611,OnlytheTruth,cop time come startseometh,,,
243,mbdata,20140123184611,POK,sylvia marek welcom viktor e back stage sing hit stand up speak up,,,
244,mbdata,20140123184621,KronosStar,polic arriv fire help manag scene kronosstar,,,
245,mbdata,20140123184621,HomelandIlluminations,fire offici report yet know apart current occupi hi,,,
246,mbdata,20140123184621,trollingsnark,how long bullet begin fli waitforit,,,
247,mbdata,20140123184621,footfingers,real chang possibl krono rule poepl corrupt pok,36.054,24.902,
248,mbdata,20140123184622,blueSunshine,rt @kronosstar abila polic depart sent two unit fire danc dolphin apart kronosstar,,,
249,mbdata,20140123184622,henri,rt @kronosstar abila polic depart sent two unit fire danc dolphin apart kronosstar,,,
250,mbdata,20140123184622,klingon4real,rt @onlythetruth fire fire fire yesssss burnabilaburn,,,
251,mbdata,20140123184622,KronosQuoth,success walk failur failur loss enthusiasm   pokral hi,,,
252,mbdata,20140123184622,KronosQuoth,eighti percent success show   kronosstar pokral,,,
253,mbdata,20140123184645,dtennent,rt @friendsofkrono dr newman joke pok terror,,,
254,mbdata,20140123184645,KronosQuoth,a success man one lay firm foundat brick other thrown   pokral hi,,,
255,mbdata,20140123184652,HomelandIlluminations,just receiv word wit build occupi hi,,,
256,mbdata,20140123184652,trollingsnark,yes search protect what realli look,,,
257,mbdata,20140123184700,vetsRock,rt @homelandillumin build fire achilleo madeg respond dispatch hi,,,
258,mbdata,20140123184700,wireHead1122,rt @homelandillumin build fire achilleo madeg respond dispatch hi,,,
259,mbdata,20140123184700,henri,rt @internationalnew continu fire danc dolphin apart abila intnew,,,
260,mbdata,20140123184700,slamrjamr,rt @abilapost the locat fire identifi danc dolphin apart complex abilapost,,,
261,mbdata,20140123184700,wireHead1122,rt @abilapost the locat fire identifi danc dolphin apart complex abilapost,,,
262,mbdata,20140123184700,dtennent,rt @abilapost the locat fire identifi danc dolphin apart complex abilapost,,,
263,mbdata,20140123184700,joyce101,rt @dangermic fire truck arriv danc dolphin abilafir,,,
264,mbdata,20140123184700,luvMyPants,rt @pok connect pok communiti pok.kronos/join,,,
265,mbdata,20140123184700,AbilaPost,resid begun trickl danc dolphin abilapost,,,
266,mbdata,20140123184700,HomelandIlluminations,polic report build search occup hi,,,
267,mbdata,20140123184700,AbilaFireDept,abila fire depart scene danc dolphin fire achilleo madeg assess extent fire afd,,,
268,mbdata,20140123184700,martaflores,my apart fill smoke help 'm apart 301 helpm,,,
269,mbdata,20140123184700,kingWilly,say prayer neighbor dansingdolfinfir,,,
270,mbdata,20140123184700,AbilaAllFaith,prayer brother sister dancind dolphin appart,,,
271,mbdata,20140123184700,trollingsnark,srsli did govern make helpless victim bot they expect us buy noway,,,
272,mbdata,20140123184700,OnlytheTruth,whoever thank firestart,,,
273,ccdata,20140123184700,,fire medic need amubl dispatch to fire,,,N. Achilleos St / N. Madeg St
274,mbdata,20140123184703,KronosStar,abila fire depart dispatch ambul assist danc dolphin fire kronosstar,,,
275,mbdata,20140123184703,HomelandIlluminations,sever resid exit build hi,,,
276,mbdata,20140123184703,Viktor-E,bert hann tell ralli draw inspir histor person,,,
277,mbdata,20140123184706,KronosQuoth,eighti percent success show   kronosstar pokral,,,
278,mbdata,20140123184706,KronosQuoth,happi someth readymad   it come action   kronosstar pokral,,,
279,mbdata,20140123184706,KronosQuoth,the distanc insan genius measur success   pokral hi,,,
280,mbdata,20140123184707,trollingsnark,find anyth yet polit enemi bribe money,,,
281,mbdata,20140123184709,AbilaPost,unclear mani peopl still insid build abilapost,,,
282,mbdata,20140123184709,NewsOnlineToday,resid save danc dolphin fire abila newsonlin,,,
283,mbdata,20140123184709,AbilaFireDept,abila fire depart dispatch addit fire truck danc dolphin apart fire afd,,,
284,mbdata,20140123184709,GreyCatCollectibles,so sad stuff   putitout,,,
285,mbdata,20140123184709,rockStar113,excietemtn seen street long time fire,,,
286,mbdata,20140123184709,OnlytheTruth,nooo n't putitout,,,
287,ccdata,20140123184709,,fire medic need fire truck 23 dispatch to fire,,,N. Achilleos St / N. Madeg St
288,mbdata,20140123184710,CentralBulletin,unclear mani peopl still insid build abila centralbulletin,,,
289,mbdata,20140123184711,KronosStar,addit fire unit call assist danc dolphin fire kronosstar,,,
290,mbdata,20140123184711,HerraTomas,some comment disgust peoplearehorr,,,
291,mbdata,20140123184711,cleaningFish,'s rave east abila tomorrow night abila rave,,,
292,ccdata,20140123184711,,traffic stop,,,N. Arbete St / N. Utmana St
293,mbdata,20140123184719,InternationalNews,fire grow danc dolphin fire abila intnew,,,
294,mbdata,20140123184719,AbilaPost,third?fir truck dispatch fire abilapost,,,
295,mbdata,20140123184719,windAvatar,anyon hurt   dancingdolphinfir,,,
296,mbdata,20140123184721,henri,rt @kronosstar polic arriv fire help manag scene kronosstar,,,
297,mbdata,20140123184722,henri,rt @kronosstar abila polic depart sent two unit fire danc dolphin apart kronosstar,,,
298,mbdata,20140123184722,dragonRider1,rt @kronosstar abila polic depart sent two unit fire danc dolphin apart kronosstar,,,
299,mbdata,20140123184722,vonneka,rt @kronosstar abila polic depart sent two unit fire danc dolphin apart kronosstar,,,
300,mbdata,20140123184729,KronosQuoth,your problem n't problem your reaction problem   pokral hi,,,
301,mbdata,20140123184729,KronosQuoth,there chanc destini fate hinder control firm resolv determin soul   pokral hi,,,
302,mbdata,20140123184731,vetsRock,rt @homelandillumin homeland illum site   flame visibl second floor six floor apart build hi,,,
303,mbdata,20140123184731,lindyT,rt @homelandillumin homeland illum site   flame visibl second floor six floor apart build hi,,,
304,mbdata,20140123184731,AbilaFireDept,abila fire depart indic danc dolphin apart six stori structur bottom three stori current occupi afd,,,
305,mbdata,20140123184731,redisrad,interweb dancingdolfinfir 's realli close,,,
306,mbdata,20140123184731,Viktor-E,ellen erik interview athenamusiconlin viktor-e.kronos/theband/lomax-gastov-athena,,,
307,mbdata,20140123184731,truccotrucco,els enough speech feel like school gelatogalor time,36.052,24.852,
