,Unnamed: 0,type,date(yyyyMMddHHmmss),author,message,latitude,longitude, location
120,120,mbdata,20140123171102,POK,special guest today 's pok ralli park dr. audrey mcconnel newman award winnign activist conservationist,,,
121,121,mbdata,20140123171102,choconibbs,our special guest al zawahiri   poklov,,,
122,122,mbdata,20140123171102,FriendsOfKronos,terrorist leader sylvia marek tring greenwash terror group pok,,,
123,123,ccdata,20140123171102,,disturb nois,,,3654 N. Barwyn St
124,124,mbdata,20140123171116,skinnyJeans,cheap car sale no question ask   cars.kronos/chopp   abila van car,,,
125,125,mbdata,20140123171147,KronosQuoth,if n't valu time neither other stop give away time talents- start charg   pokral hi,,,
126,126,mbdata,20140123171147,KronosQuoth,the distanc insan genius measur success   pokral hi,,,
127,127,mbdata,20140123171147,Clevvah4Evah,what 's diff would would ve pok ralli grammar,,,
128,128,mbdata,20140123171153,POK,also present professor lorenzo di stefano uofa lucio jakab sow,,,
129,129,mbdata,20140123171153,AbilaPost,pok ralli expect draw excess 1000 peopl abilapost,,,
130,130,mbdata,20140123171153,choconibbs,dr death lucio anarchi poklov,,,
131,131,ccdata,20140123171153,,alarm secur no crime,,,3815 N. Blant St
132,132,mbdata,20140123171159,POK,music povid abila 's hometown favorit viktor e,,,
133,133,mbdata,20140123171159,FriendsOfKronos,anoth pok riot wait happend,,,
134,134,ccdata,20140123171159,,misdemeanor assault in progress,,,N. Dentro St / N. Omirou St
135,135,mbdata,20140123171200,sarajane,rt @pok show support pok join us park pokrallyinthepark,,,
136,136,mbdata,20140123171202,POK,up next lucio jakab co founder save our wildland,,,
137,137,mbdata,20140123171217,Clevvah4Evah,the ralli peak interest pok ralli grammar,,,
138,138,mbdata,20140123171245,KronosQuoth,knowledg awar wisdom know   pokral hi,,,
139,139,mbdata,20140123171245,KronosQuoth,wast want   kronosstar pokral,,,
140,140,mbdata,20140123171245,KronosQuoth,if dream achiev   kronosstar pokral,,,
141,141,mbdata,20140123171253,dtennent,rt @abilapost pok ralli expect draw excess 1000 peopl abilapost,,,
142,142,mbdata,20140123171253,dolls4sale,rt @abilapost pok ralli expect draw excess 1000 peopl abilapost,,,
143,143,mbdata,20140123171259,plasticParts,rt @friendsofkrono anoth pok riot wait happend,,,
144,144,mbdata,20140123171300,dolls4sale,rt @maha_homeland warm welcom sylvia marek guest speaker today 's ralli,,,
145,145,mbdata,20140123171300,blueSunshine,rt @viktor e follow us @viktor e,,,
146,146,mbdata,20140123171300,plasticParts,rt @internationalnew pok ralli start abila citi park pok leader sylvia marek open speech � intnew,,,
147,147,mbdata,20140123171300,klingon4real,rt @internationalnew pok ralli start abila citi park pok leader sylvia marek open speech � intnew,,,
148,148,mbdata,20140123171300,pinky,rt @truccotrucco ralli time readi inspir pok,,,
149,149,mbdata,20140123171301,POK,sylvia marek interview greenlif founder estefan gurbuz pok.kronos/meetourpartn,,,
150,150,mbdata,20140123171301,maha_Homeland,dr. audrey mcconnel newman intern recogn environment activist travel abila speak pok ralli,,,
151,151,mbdata,20140123171301,SaveOurWildlands,global warm strengthen air water pollut sow.kronos/climatechange/pollut,,,
152,152,mbdata,20140123171301,AbilaPost,special guest dr. audrey mcconnel newman speak along lucio jakab professor lorenzo di stefano viktor e provid music abilapost,,,
153,153,mbdata,20140123171301,choconibbs,pok tri give aura cred kidnap extort,,,
154,154,mbdata,20140123171301,Officia1AbilaPost,miss gastech employe found safe exot vacat smush.com.kronos/154xu5xi,,,
155,155,mbdata,20140123171302,microBanana,rt @pok special guest today 's pok ralli park dr. audrey mcconnel newman award winnign activist conservationist,,,
156,156,mbdata,20140123171315,KronosQuoth,the start point achiev desir   pokral hi,,,
157,157,mbdata,20140123171339,KronosQuoth,life measur number breath take moment take breath away   kronosstar pokral,,,
158,158,mbdata,20140123171353,plasticParts,rt @abilapost pok ralli expect draw excess 1000 peopl abilapost,,,
159,159,mbdata,20140123171400,rnbwBrite,rt @powercryst join us ralli race weekend ralli,,,
160,160,mbdata,20140123171400,phantomagate,rt @internationalnew pok ralli start abila citi park pok leader sylvia marek open speech � intnew,,,
161,161,mbdata,20140123171401,wireHead1122,rt @abilapost special guest dr. audrey mcconnel newman speak along lucio jakab professor lorenzo di stefano viktor e provid music abilapost,,,
162,162,mbdata,20140123171404,KronosQuoth,the way great work love   kronosstar pokral,,,
163,163,mbdata,20140123171404,KronosQuoth,a success man one lay firm foundat brick other thrown   pokral hi,,,
164,164,mbdata,20140123171404,KronosQuoth,the difficult thing decis act rest mere tenac   kronosstar pokral,,,
165,165,mbdata,20140123171425,Clevvah4Evah,you got low self coincid pok ralli grammar,,,
166,166,mbdata,20140123171425,Clevvah4Evah,do nt loos way dark go home pok ralli grammar,,,
167,167,mbdata,20140123171447,POK,is drink water clean pok.kronos/waterfact,,,
168,168,mbdata,20140123171447,Viktor-E,to schedul victor e event contact us viktor-e.krono,,,
169,169,mbdata,20140123171447,footfingers,the asterian peopl 's armi support pok fight tyranni injustic pok apa,36.054,24.902,
170,170,mbdata,20140123171447,truthforcadau,ca nt wait hear viktor e pokral,36.051,24.854,
171,171,mbdata,20140123171447,ReggieWassali,i <3 sylvia pok,,,
172,172,mbdata,20140123171447,FriendsOfKronos,legitim speaker would alli themself pok,,,
173,173,ccdata,20140123171447,,subject stop,,,3815 N. Barwyn St
174,174,mbdata,20140123171451,KronosQuoth,onli put tomorrow will die left undon   pokral hi,,,
175,175,mbdata,20140123171451,KronosQuoth,wast want   kronosstar pokral,,,
176,176,mbdata,20140123171451,Clevvah4Evah,my boss alway impact pok ralli grammar,,,
177,177,mbdata,20140123171451,KronosQuoth,if re go hell keep go   pokral hi,,,
178,178,mbdata,20140123171453,siliconKing,rt @pok also present professor lorenzo di stefano uofa lucio jakab sow,,,
179,179,mbdata,20140123171453,soup4u,rt @abilapost pok ralli expect draw excess 1000 peopl abilapost,,,
180,180,mbdata,20140123171453,muppiesRock,rt @abilapost pok ralli expect draw excess 1000 peopl abilapost,,,
181,181,mbdata,20140123171459,dolls4sale,rt @pok music povid abila 's hometown favorit viktor e,,,
182,182,mbdata,20140123171501,gardener4958,rt @abilapost special guest dr. audrey mcconnel newman speak along lucio jakab professor lorenzo di stefano viktor e provid music abilapost,,,
183,183,mbdata,20140123171501,dolls4sale,rt @abilapost special guest dr. audrey mcconnel newman speak along lucio jakab professor lorenzo di stefano viktor e provid music abilapost,,,
184,184,mbdata,20140123171501,POK,sylvia introduc lucio jakab founder save our wildland,,,
185,185,ccdata,20140123171501,,suspici subject circumst in progress,,,436 Zefirou Ave
186,186,mbdata,20140123171513,choconibbs,lucio love armi mindless follow poklov,,,
187,187,mbdata,20140123171513,FriendsOfKronos,prof di stefano lose job pok terrorsympath,,,
188,188,ccdata,20140123171513,,traffic stop,,,3703 N. Pilau St
189,189,mbdata,20140123171518,KronosQuoth,whatev dream begin   bold genius power magic   kronosstar pokral,,,
190,190,mbdata,20140123171538,KronosQuoth,what 's point aliv n't least tri someth remark   pokral hi,,,
191,191,mbdata,20140123171538,KronosQuoth,you ca n't connect dot look forward connect look backward pokral hi,,,
192,192,mbdata,20140123171553,plasticParts,rt @abilapost pok ralli expect draw excess 1000 peopl abilapost,,,
193,193,mbdata,20140123171553,sithLordJames,rt @abilapost pok ralli expect draw excess 1000 peopl abilapost,,,
194,194,mbdata,20140123171553,lindyT,rt @abilapost pok ralli expect draw excess 1000 peopl abilapost,,,
195,195,mbdata,20140123171553,lordWally,rt @choconibb dr death lucio anarchi poklov,,,
196,196,mbdata,20140123171558,KronosQuoth,two road diverg wood i � i took one less travel and made differ   kronosstar pokral,,,
197,197,mbdata,20140123171558,KronosQuoth,too mani us live dream live fear   kronosstar pokral,,,
198,198,mbdata,20140123171558,KronosQuoth,dream big dare fail   kronosstar pokral,,,
199,199,mbdata,20140123171558,KronosQuoth,trust will accept risk 's safe certain   pokral hi,,,
200,200,mbdata,20140123171600,GreyCatCollectibles,they ve rip build week stop   nopeac,,,
201,201,mbdata,20140123171600,POK,sow 's lucio jakab take podium,,,
202,202,mbdata,20140123171600,maha_Homeland,maha salo interview pok? sylvia marek homelandillumination.kronos/marekinterview,,,
203,203,mbdata,20140123171600,SaveOurWildlands,do natur garden   sow.kronos/greengarden,,,
204,204,mbdata,20140123171600,Viktor-E,bert hann we happi part day peac love abila citi park,,,
205,205,mbdata,20140123171600,choconibbs,blather blather blather lucio pokral,,,
206,206,mbdata,20140123171600,anaregents,good turnout tonight � must 2000 peopl,,,
207,207,mbdata,20140123171600,truccotrucco,sylvia rock go girl pokral,36.052,24.852,
208,208,mbdata,20140123171600,MindOfKronos,viktor e more like loser e. ca n't decid 's never nobodycar,,,
209,209,ccdata,20140123171600,,incomplet call for polic,,,
210,210,mbdata,20140123171601,soup4u,rt @abilapost special guest dr. audrey mcconnel newman speak along lucio jakab professor lorenzo di stefano viktor e provid music abilapost,,,
211,211,mbdata,20140123171601,dragonRider1,rt @abilapost special guest dr. audrey mcconnel newman speak along lucio jakab professor lorenzo di stefano viktor e provid music abilapost,,,
212,212,mbdata,20140123171623,KronosQuoth,when stop chase wrong thing give right thing chanc catch   pokral hi,,,
213,213,mbdata,20140123171652,KronosQuoth,start use   do   kronosstar pokral,,,
214,214,mbdata,20140123171652,KronosQuoth,whether think think ca nt right   kronosstar pokral,,,
215,215,mbdata,20140123171652,Clevvah4Evah,what 's diff would would ve pok ralli grammar,,,
216,216,mbdata,20140123171701,slamrjamr,rt @abilapost special guest dr. audrey mcconnel newman speak along lucio jakab professor lorenzo di stefano viktor e provid music abilapost,,,
217,217,mbdata,20140123171701,muppiesRock,rt @abilapost special guest dr. audrey mcconnel newman speak along lucio jakab professor lorenzo di stefano viktor e provid music abilapost,,,
218,218,mbdata,20140123171701,stolkfair,rt @abilapost special guest dr. audrey mcconnel newman speak along lucio jakab professor lorenzo di stefano viktor e provid music abilapost,,,
219,219,mbdata,20140123171701,dragonRider1,rt @choconibb pok tri give aura cred kidnap extort,,,
220,220,mbdata,20140123171701,worldWatcher,rt @officia1abilapost miss gastech employe found safe exot vacat smush.com.kronos/154xu5xi,,,
221,221,mbdata,20140123171714,KronosQuoth,win nt everyth want win   kronosstar pokral,,,
222,222,mbdata,20140123171714,KronosQuoth,your problem n't problem your reaction problem   pokral hi,,,
223,223,mbdata,20140123171714,KronosQuoth,there traffic jam along extra mile   kronosstar pokral,,,
224,224,ccdata,20140123171725,,busi check,,,898 N. Utanfor St
225,225,mbdata,20140123171739,KronosQuoth,good thing come peopl wait better thing come go get   pokral hi,,,
226,226,mbdata,20140123171739,KronosQuoth,if ca n't explain simpli n't understand well enough   pokral hi,,,
227,227,mbdata,20140123171739,KronosQuoth,a person never made mistak never tri anyth new   kronosstar pokral,,,
228,228,mbdata,20140123171800,sithLordJames,rt @truccotrucco sylvia rock go girl pokral,,,
229,229,mbdata,20140123171800,POK,lucio quot albert einstein look natur understand everyth better,,,
230,230,mbdata,20140123171800,SaveOurWildlands,lucio jakab say look natur understand everyth,,,
231,231,mbdata,20140123171800,choconibbs,look crime anarchi fulfil lucio pokral,,,
232,232,mbdata,20140123171800,truthforcadau,lot cop hope nt anyth stupid pokrallyinthepark pokpeac,36.051,24.854,
233,233,mbdata,20140123171800,truccotrucco,got ta 3000 peopl pok strong,36.052,24.852,
234,234,mbdata,20140123171800,MindOfKronos,what want all lame chanter park when want now,,,
235,235,ccdata,20140123171800,,vehicl accid report,,,N. Spetson St / N. Arkadou St
236,236,mbdata,20140123171804,KronosQuoth,success like like like   pokral hi,,,
237,237,mbdata,20140123171804,mainman447,make $ 630-$8062 month onlin fastjobs.kronos/trick abila workathom,,,
238,238,mbdata,20140123171804,KronosQuoth,peopl rare succeed unless fun   pokral hi,,,
239,239,mbdata,20140123171804,KronosQuoth,you without sin cast first stone   kronosstar pokral,,,
240,240,mbdata,20140123171832,KronosQuoth,whatev dream begin   bold genius power magic   kronosstar pokral,,,
241,241,mbdata,20140123171832,KronosQuoth,the battl count nt one gold medal the struggl within kronosstar pokral,,,
242,242,mbdata,20140123171833,ourcountryourrights,the cop look scare cuz know serv corrupt master pok,,,
243,243,mbdata,20140123171833,FriendsOfKronos,stupd cop lost faith apd arrest terrorist figur later,,,
244,244,mbdata,20140123171833,hempRules,peopl r mean trylov,,,
245,245,ccdata,20140123171833,,check on hazard,,,4304 N. Arbete St
246,246,mbdata,20140123171844,choconibbs,@art   they re kidnapp probabl murder fact pokral,,,
247,247,mbdata,20140123171847,zengardener,rt @friendsofkrono legitim speaker would alli themself pok,,,
248,248,mbdata,20140123171900,luvMyPants,rt @viktor e bert hann we happi part day peac love abila citi park,,,
249,249,mbdata,20140123171900,eliza003,we re   plan mtg park rais awar homeless park homelessawar,,,
250,250,mbdata,20140123171900,POK,the crowd esitm 900 peopl 's still peopl arriv,,,
251,251,mbdata,20140123171900,maha_Homeland,now speak lucio jakab save our wildland start quot albert einstein,,,
252,252,mbdata,20140123171900,SaveOurWildlands,9 thing today help wildland sow krono makeadiffer,,,
253,253,mbdata,20140123171900,AbilaPost,lucio jakab save our wetland speak pok ralli abilapost,,,
254,254,mbdata,20140123171900,choconibbs,note apd save time arrest pokral,,,
255,255,ccdata,20140123171900,,disturb nois,,,3177 N. Gounaraki St
256,256,mbdata,20140123171901,KronosQuoth,the futur heal descript marvel pokral hi,,,
257,257,mbdata,20140123171901,KronosQuoth,if offer seat rocket ship nt ask seat just get   kronosstar pokral,,,
258,258,mbdata,20140123171901,KronosQuoth,the past ghost futur dream all ever   kronosstar pokral,,,
259,259,mbdata,20140123171931,Clevvah4Evah,i want job 80 mental 30 fiscal pok ralli grammar,,,
260,260,mbdata,20140123172000,zengardener,rt @choconibb blather blather blather lucio pokral,,,
261,261,mbdata,20140123172000,BlueVelvet,rt @mindofkrono what want all lame chanter park when want now,,,
262,262,mbdata,20140123172000,choconibbs,it n't get better blather pokral,,,
263,263,mbdata,20140123172000,anaregents,cop everywher tonit hop ether troubl,,,
264,264,mbdata,20140123172000,footfingers,greedi corpor ruin krono poison peopl fight back pok,36.054,24.902,
265,265,mbdata,20140123172002,KronosQuoth,limit live mind   but use imagin possibl becom limitless   kronosstar pokral,,,
266,266,mbdata,20140123172002,KronosQuoth,peopl rare succeed unless fun   pokral hi,,,
267,267,mbdata,20140123172002,KronosQuoth,if offer seat rocket ship nt ask seat just get   kronosstar pokral,,,
268,268,mbdata,20140123172029,KronosQuoth,how wonder nobodi need wait singl moment start improv world   kronosstar pokral,,,
269,269,mbdata,20140123172029,KronosQuoth,evolut inspir incred phenomena pokral hi,,,
270,270,mbdata,20140123172029,KronosQuoth,when everyth seem go rememb airplan take wind   kronosstar pokral,,,
271,271,mbdata,20140123172033,wireHead1122,rt @ourcountryourright the cop look scare cuz know serv corrupt master pok,,,
272,272,mbdata,20140123172051,KronosQuoth,noth imposs word say i possibl   kronosstar pokral,,,
273,273,mbdata,20140123172051,KronosQuoth,if alway get alway got   pokral hi,,,
274,274,mbdata,20140123172100,pinky,rt @truccotrucco got ta 3000 peopl pok strong,,,
275,275,mbdata,20140123172100,POK,jakab we symbiot relationship earth,,,
276,276,mbdata,20140123172100,truccotrucco,lot cop ca nt stop us pok,36.052,24.852,
277,277,mbdata,20140123172100,FriendsOfKronos,lucio jakab save our wetland terrorist sympathes pok,,,
278,278,mbdata,20140123172100,michelleR,peopl need sit ur block view band,,,
279,279,ccdata,20140123172100,,incomplet call for polic,,,
280,280,mbdata,20140123172119,KronosQuoth,the function leadership produc leader follow   pokral hi,,,
281,281,mbdata,20140123172133,BlueVelvet,rt @hemprul peopl r mean trylov,,,
282,282,mbdata,20140123172145,KronosQuoth,you anyth everyth   pokral hi,,,
283,283,mbdata,20140123172145,KronosQuoth,noth imposs word say i possibl   kronosstar pokral,,,
284,284,mbdata,20140123172200,slamrjamr,rt @pok lucio quot albert einstein look natur understand everyth better,,,
285,285,mbdata,20140123172200,joyce101,rt @anareg cop everywher tonit hop ether troubl,,,
286,286,mbdata,20140123172200,rnbwBrite,rt @truccotrucco lot cop ca nt stop us pok,,,
287,287,mbdata,20140123172200,POK,jakab get cheer audienc inspir remark,,,
