,type,date(yyyyMMddHHmmss),author,message,latitude,longitude, location
54,mbdata,20140123200500,pashmina887,anyon want meet gelatogalor gelatorock,,,
55,mbdata,20140123200500,protoGuy,r cop sit around,,,
56,mbdata,20140123200500,Sara_Nespola,cop tri build perimet lot shove yell,,,
57,mbdata,20140123200500,megaMan,send im friend hear incid   tag,,,
58,mbdata,20140123200500,KronosStar,apd evacu busi near gelato galor standoff kronosstar,,,
59,mbdata,20140123200500,sofitees,apd evacu us standoff,36.059,24.857,
60,mbdata,20140123200507,KronosQuoth,success peopl unsuccess peopl will dodon't wish easier wish better   pokral hi,,,
61,mbdata,20140123200532,luvMyPants,rt @protoguy i see?som swat dude set top build,,,
62,mbdata,20140123200532,plasticParts,rt @megaman thank new follow   i fair safe   polic work crowd street tag,,,
63,mbdata,20140123200535,KronosQuoth,the first step toward success taken refus captiv environ first find   pokral hi,,,
64,mbdata,20140123200535,KronosQuoth,all dream come true courag pursu   pokral hi,,,
65,mbdata,20140123200545,CentralBulletin,injur firefight rescu fire abila centralbulletin,,,
66,mbdata,20140123200545,megaMan,@areslittl i ve sinc start tag,,,
67,mbdata,20140123200545,AbilaPost,apd evacu busi near gelato glaor pleas stay clear area near intersect alexandria ithaki abilapost,,,
68,mbdata,20140123200545,KronosStar,report hospit apd offic serious stabl condit kronosstar,,,
69,mbdata,20140123200545,panopticon,apd evacu peopl car coffee across street nt line fire,,,
70,mbdata,20140123200545,BoraVerissimo,they re get us just want go home,,,
71,mbdata,20140123200545,prettyRain,pleas pray us,,,
72,ccdata,20140123200545,,incomplet call for polic,,,
73,mbdata,20140123200557,brandonL,rt @megaman see someon talk van guy anyon van still tag,,,
74,mbdata,20140123200557,dtennent,rt @homelandillumin swat team appear taken command,,,
75,mbdata,20140123200600,zengardener,rt @martao stoodup i ll die alon n childless,,,
76,mbdata,20140123200600,brain448,rt @kronosstar apd evacu busi near gelato galor standoff kronosstar,,,
77,mbdata,20140123200605,KronosQuoth,whatev mind man conceiv believ achiev   kronosstar pokral,,,
78,mbdata,20140123200613,grlPwrz505,hello use thsi right help abilia,,,
79,mbdata,20140123200613,FriendsOfKronos,busi around gelatogalor evacu danger pok terrorist,,,
80,mbdata,20140123200613,megaMan,lot discuss ca n't hear tag,,,
81,mbdata,20140123200613,CentralBulletin,polic evacu surround busi abila centralbulletin,,,
82,mbdata,20140123200613,MarcusDrymiau,look like polic thing happen outsid gonnabel,,,
83,mbdata,20140123200613,sofitees,think 's hostag nt apd standoff,36.059,24.857,
84,mbdata,20140123200627,megaMan,probabl get anywher tag,,,
85,mbdata,20140123200627,livin4HigherPower,pray peac resolut standoff abilapray,,,
86,mbdata,20140123200632,KronosQuoth,onli put tomorrow will die left undon   pokral hi,,,
87,mbdata,20140123200645,jaques,rt @kronosstar report hospit apd offic serious stabl condit kronosstar,,,
88,mbdata,20140123200655,KronosQuoth,there two type peopl tell make differ world pokral hi,,,
89,mbdata,20140123200655,KronosQuoth,you never cross ocean courag lose sight shore   kronosstar pokral,,,
90,mbdata,20140123200658,protoGuy,guess swat guy ca n't see hostag n't want shoot,,,
91,mbdata,20140123200658,panopticon,look like apd move peopl general grocer,,,
92,mbdata,20140123200658,roger_roger,still,,,
93,ccdata,20140123200658,,suspici subject circumst in progress,,,2439 N. Profitou Ilia Ave
94,ccdata,20140123200659,,traffic stop,,,N. Prevezis St / N. Androutsou St
95,mbdata,20140123200700,stolkfair,rt @megaman send im friend hear incid   tag,,,
96,ccdata,20140123200700,,crime scene investig request locat dwell of interest,,,1122 N. Maskin St
97,mbdata,20140123200703,SiaradSea,get,,,
98,mbdata,20140123200709,KronosStar,paramed take firefight abila general hospit kronosstar dancingdolphinfir afdhero,,,
99,mbdata,20140123200709,AbilaPost,paramed taken injur firefight abila hospital?#afd abilapost,,,
100,mbdata,20140123200709,HomelandIlluminations,report fire fighter injur hi,,,
101,mbdata,20140123200709,GreyCatCollectibles,need rest stress kill my pictur grandma 's recip pictur timmi harpsichord,,,
102,mbdata,20140123200709,redisrad,wow welcom abila whi move missingtethi,,,
103,mbdata,20140123200709,OnlytheTruth,score fire 1 firemen 0 gooooooal,,,
104,mbdata,20140123200709,footfingers,trust govern pok,36.054,24.902,
105,mbdata,20140123200709,FriendsOfKronos,wait pok terrorist hostag kidnap peopl gastech,,,
106,mbdata,20140123200709,protoGuy,cop get peopl general grocer,,,
107,mbdata,20140123200709,megaMan,start evacu store think gelato folk stuck tag,,,
108,mbdata,20140123200709,KronosStar,polic request public stay away hostag scene near alexandria ithaki kronosstar,,,
109,mbdata,20140123200709,InternationalNews,abila polic offic stabl condit wound shoot abila intnew,,,
110,mbdata,20140123200709,AbilaPoliceDepartment,the situat near gelato galor believ hostag situat we work resolv quick safe possibl apd,,,
111,mbdata,20140123200713,pinky,rt @centralbulletin polic evacu surround busi abila centralbulletin,,,
112,mbdata,20140123200713,henri,rt @centralbulletin polic evacu surround busi abila centralbulletin,,,
113,mbdata,20140123200713,wireHead1122,rt @centralbulletin polic evacu surround busi abila centralbulletin,,,
114,mbdata,20140123200723,KronosQuoth,wast want   kronosstar pokral,,,
115,mbdata,20140123200723,KronosQuoth,do one thing everi day scare   pokral hi,,,
116,mbdata,20140123200723,rockinHW,make $ 630-$8062 month onlin fastjobs.kronos/trick abila workathom,,,
117,mbdata,20140123200745,courage4life,rt @kronosstar report hospit apd offic serious stabl condit kronosstar,,,
118,mbdata,20140123200745,carjunkers,i got cheap medic onlin without prescript meds.kronos/cheapm krono abila,,,
119,mbdata,20140123200745,KronosQuoth,i product circumst i product decis   kronosstar pokral,,,
120,mbdata,20140123200745,KronosQuoth,whenev find side major time paus reflect   pokral hi,,,
121,mbdata,20140123200801,CentralBulletin,paramed take injur firefight hospit abila centralbulletin,,,
122,mbdata,20140123200801,FriendsOfKronos,must van full terrifi peopl pok hostag,,,
123,mbdata,20140123200801,megaMan,@ben yeah hostag situat tag,,,
124,mbdata,20140123200801,prettyRain,someon tell gonig pleas,,,
125,ccdata,20140123200801,,traffic stop,,,Rist Way / Niovis St
126,mbdata,20140123200809,gardener4958,rt @abilapost paramed taken injur firefight abila hospital?#afd abilapost,,,
127,mbdata,20140123200809,zengardener,rt @abilapost paramed taken injur firefight abila hospital?#afd abilapost,,,
128,mbdata,20140123200813,vonneka,rt @centralbulletin polic evacu surround busi abila centralbulletin,,,
129,mbdata,20140123200813,KronosQuoth,take one idea make one idea life think dream live idea.#pokr hi,,,
130,mbdata,20140123200813,KronosQuoth,do n't let fear lose greater excit win   pokral hi,,,
131,mbdata,20140123200813,KronosQuoth,bless give without rememb take without forget   pokral hi,,,
132,mbdata,20140123200837,KronosQuoth,life shrink expand proport one courag   kronosstar pokral,,,
133,mbdata,20140123200845,dolls4sale,rt @kronosstar report hospit apd offic serious stabl condit kronosstar,,,
134,mbdata,20140123200845,brandonL,rt @kronosstar report hospit apd offic serious stabl condit kronosstar,,,
135,mbdata,20140123200845,vonneka,rt @kronosstar report hospit apd offic serious stabl condit kronosstar,,,
136,mbdata,20140123200900,dragonRider1,rt @sofite apd evacu us standoff,,,
137,mbdata,20140123200901,jaques,rt @centralbulletin paramed take injur firefight hospit abila centralbulletin,,,
138,mbdata,20140123200905,cheapgoods998,he hesit lost kronosstar pokral,,,
139,mbdata,20140123200905,KronosQuoth,you without sin cast first stone   kronosstar pokral,,,
140,mbdata,20140123200905,Clevvah4Evah,serv filay minion tonit pok ralli grammar,,,
141,mbdata,20140123200905,KronosQuoth,chang thought chang world   kronosstar pokral,,,
142,mbdata,20140123200909,stolkfair,rt @abilapost paramed taken injur firefight abila hospital?#afd abilapost,,,
143,mbdata,20140123200909,blueSunshine,rt @kronosstar polic request public stay away hostag scene near alexandria ithaki kronosstar,,,
144,mbdata,20140123200913,stolkfair,rt @megaman lot discuss ca n't hear tag,,,
145,mbdata,20140123200913,soup4u,rt @centralbulletin polic evacu surround busi abila centralbulletin,,,
146,mbdata,20140123200913,rrWine,rt @centralbulletin polic evacu surround busi abila centralbulletin,,,
147,mbdata,20140123200929,KronosQuoth,we becom think time 's strangest secret   pokral hi,,,
148,mbdata,20140123200929,KronosQuoth,too mani us live dream live fear   kronosstar pokral,,,
149,mbdata,20140123200929,kedits,hi i advis visit link hottips.kronos/trad abila,,,
150,mbdata,20140123200945,lindyT,rt @kronosstar report hospit apd offic serious stabl condit kronosstar,,,
151,mbdata,20140123200959,KronosQuoth,to live creativ life must lose fear wrong   pokral hi,,,
152,mbdata,20140123200959,Clevvah4Evah,i liter felt like blow pok ralli grammar,,,
153,mbdata,20140123200959,KronosQuoth,we must believ gift someth thing whatev cost must attain   kronosstar pokral,,,
154,mbdata,20140123200959,KronosQuoth,if dream achiev   kronosstar pokral,,,
155,mbdata,20140123201000,anaregents,last song viktor e. nite,,,
156,mbdata,20140123201000,FriendsOfKronos,talk take em pok,,,
157,mbdata,20140123201000,hennyhenhendrix,polic knock door car,36.057,24.892,
158,mbdata,20140123201000,protoGuy,swat guy talk van dude tri get give,,,
159,mbdata,20140123201000,Sara_Nespola,i think see peopl come back general grocer,,,
160,mbdata,20140123201000,megaMan,group peopl run store tag,,,
161,mbdata,20140123201000,AbilaPoliceDepartment,we re ask public stay away corner alexandria ithaki resolv emerg issu,,,
162,mbdata,20140123201000,MarcusDrymiau,aw dang hostag thing definitelygonnabel,,,
163,mbdata,20140123201000,roger_roger,still,,,
164,mbdata,20140123201000,sofitees,mom ok cop r nt worri across street safe,36.059,24.857,
165,ccdata,20140123201000,,narcot activ report,,,N. Dimitriou St / N. Madeg St
166,mbdata,20140123201001,soup4u,rt @centralbulletin paramed take injur firefight hospit abila centralbulletin,,,
167,mbdata,20140123201001,joyce101,rt @centralbulletin paramed take injur firefight hospit abila centralbulletin,,,
168,mbdata,20140123201001,rrWine,rt @centralbulletin paramed take injur firefight hospit abila centralbulletin,,,
169,mbdata,20140123201009,gardener4958,rt @abilapost paramed taken injur firefight abila hospital?#afd abilapost,,,
170,mbdata,20140123201009,stolkfair,rt @abilapost paramed taken injur firefight abila hospital?#afd abilapost,,,
171,mbdata,20140123201009,brain448,rt @abilapost paramed taken injur firefight abila hospital?#afd abilapost,,,
172,mbdata,20140123201009,pinky,rt @abilapost paramed taken injur firefight abila hospital?#afd abilapost,,,
173,mbdata,20140123201009,muppiesRock,rt @kronosstar polic request public stay away hostag scene near alexandria ithaki kronosstar,,,
174,mbdata,20140123201009,wiseWords,rt @kronosstar polic request public stay away hostag scene near alexandria ithaki kronosstar,,,
175,mbdata,20140123201013,siliconKing,rt @centralbulletin polic evacu surround busi abila centralbulletin,,,
176,mbdata,20140123201013,vetsRock,rt @centralbulletin polic evacu surround busi abila centralbulletin,,,
177,mbdata,20140123201017,NewsOnlineToday,injur firefight danc dolphin fire abila newsonlin,,,
178,mbdata,20140123201017,megaMan,car 's evacu   tag,,,
179,mbdata,20140123201017,AbilaPost,negoti begun shooter apd abilapost,,,
180,mbdata,20140123201017,HomelandIlluminations,apd negoti gunmen peac solut,,,
181,mbdata,20140123201017,panopticon,guy van craazi talk ca nt talk crazi,,,
182,mbdata,20140123201017,prettyRain,think 'm sick,,,
183,mbdata,20140123201022,FriendsOfKronos,shoot cop terror nt negoti terrorist pok terror,,,
184,mbdata,20140123201022,megaMan,peopl tri leav car polic say   tag,,,
185,mbdata,20140123201022,NewsOnlineToday,abila polic negoti gunmen peac solut abila,,,
186,mbdata,20140123201023,KronosQuoth,the mean life find gift the purpos life give away   pokral hi,,,
187,mbdata,20140123201027,rrWine,rt @megaman probabl get anywher tag,,,
188,mbdata,20140123201029,megaMan,polic someon talk van guy   tag,,,
189,mbdata,20140123201033,megaMan,negoit   tag,,,
190,mbdata,20140123201038,FriendsOfKronos,shoot first ask question later pok terror,,,
191,mbdata,20140123201038,jenny90210,omg go groceri store popl shot,,,
192,mbdata,20140123201038,protoGuy,comeon dude give cop,,,
193,mbdata,20140123201038,megaMan,ca n't hear word van guy sound mad tag,,,
194,mbdata,20140123201038,Officia1AbilaPost,top cruis destin abila rank   smad.co.kronos/20cn8389,,,
195,mbdata,20140123201038,SiaradSea,that intens time4win,,,
196,ccdata,20140123201038,,vehicl accid report,,,N. Polvo St / N. Anntigonou St
197,mbdata,20140123201045,KronosQuoth,knowledg awar wisdom know   pokral hi,,,
198,mbdata,20140123201045,KronosQuoth,when everyth seem go rememb airplan take wind   kronosstar pokral,,,
199,mbdata,20140123201045,KronosQuoth,i product circumst i product decis   kronosstar pokral,,,
200,mbdata,20140123201045,KronosQuoth,you may disappoint fail doom nt tri   kronosstar pokral,,,
201,mbdata,20140123201051,partyon,guess i ll wait pick milk,,,
202,ccdata,20140123201053,,check on hazard,,,N. Pilau St / N. Arkadiou St
203,mbdata,20140123201100,microBanana,rt @friendsofkrono talk take em pok,,,
204,mbdata,20140123201100,henri,rt @sara_nespola i think see peopl come back general grocer,,,
205,ccdata,20140123201100,,alarm secur no crime,,,2203 N. Wenna St
206,mbdata,20140123201101,lordWally,rt @centralbulletin paramed take injur firefight hospit abila centralbulletin,,,
207,mbdata,20140123201101,SiaradSea,talk cop,,,
208,mbdata,20140123201109,ninjabob,rt @abilapost paramed taken injur firefight abila hospital?#afd abilapost,,,
209,mbdata,20140123201109,worldWatcher,rt @greycatcollect need rest stress kill my pictur grandma 's recip pictur timmi harpsichord,,,
210,mbdata,20140123201109,soup4u,rt @kronosstar polic request public stay away hostag scene near alexandria ithaki kronosstar,,,
211,mbdata,20140123201109,rrWine,rt @kronosstar polic request public stay away hostag scene near alexandria ithaki kronosstar,,,
212,mbdata,20140123201109,zengardener,rt @kronosstar polic request public stay away hostag scene near alexandria ithaki kronosstar,,,
213,mbdata,20140123201113,KronosQuoth,if re go hell keep go   pokral hi,,,
214,mbdata,20140123201113,KronosQuoth,i product circumst i product decis   kronosstar pokral,,,
215,mbdata,20140123201117,vonneka,rt @homelandillumin apd negoti gunmen peac solut,,,
216,mbdata,20140123201121,cleaningFish,come tournament pok er,,,
217,mbdata,20140123201121,hennyhenhendrix,seem realli interest van came,36.057,24.892,
218,mbdata,20140123201121,brontes_riff,step parlor said polic state fli,,,
219,mbdata,20140123201121,protoGuy,cop help poepl car coffe,,,
220,mbdata,20140123201121,megaMan,been livecast 1/2 hour sure end   tag,,,
221,mbdata,20140123201121,AbilaPost,apd interview evacue busi surround gelatogalor standoff abilapost,,,
222,mbdata,20140123201121,CentralBulletin,negoti begin shooter polic abila centralbulletin,,,
223,mbdata,20140123201134,KronosQuoth,just caterpillar thought world end turn butterfli   pokral hi,,,
224,mbdata,20140123201200,sarajane,rt @abilapolicedepart we re ask public stay away corner alexandria ithaki resolv emerg issu,,,
225,mbdata,20140123201200,luvMyPants,rt @sofite mom ok cop r nt worri across street safe,,,
226,mbdata,20140123201201,brain448,rt @centralbulletin paramed take injur firefight hospit abila centralbulletin,,,
227,mbdata,20140123201201,sithLordJames,rt @centralbulletin paramed take injur firefight hospit abila centralbulletin,,,
228,mbdata,20140123201201,KronosQuoth,do n't let interfer   pokral hi,,,
229,mbdata,20140123201201,KronosQuoth,what seem us bitter trial often bless disguis pokral hi,,,
230,mbdata,20140123201201,KronosQuoth,you ca nt use creativ   the use   kronosstar pokral,,,
231,mbdata,20140123201201,KronosQuoth,life shrink expand proport one courag   kronosstar pokral,,,
232,mbdata,20140123201217,farmboy,rt @newsonlinetoday injur firefight danc dolphin fire abila newsonlin,,,
233,mbdata,20140123201217,BlueVelvet,rt @newsonlinetoday injur firefight danc dolphin fire abila newsonlin,,,
234,mbdata,20140123201217,henri,rt @homelandillumin apd negoti gunmen peac solut,,,
235,mbdata,20140123201221,pinky,rt @centralbulletin negoti begin shooter polic abila centralbulletin,,,
236,mbdata,20140123201222,KronosQuoth,real difficulti overcom imaginari one unconquer   pokral hi,,,
237,mbdata,20140123201222,KronosQuoth,peopl often say motiv nt last well neither bath   that recommend daili   kronosstar pokral,,,
238,mbdata,20140123201238,farmboy,rt @officia1abilapost top cruis destin abila rank   smad.co.kronos/20cn8389,,,
239,mbdata,20140123201245,Clevvah4Evah,do nt loos way dark go home pok ralli grammar,,,
240,mbdata,20140123201245,KronosQuoth,you ve got get everi morn determin re go go bed satisfact   pokral hi,,,
241,mbdata,20140123201245,Clevvah4Evah,my boss made 360 last decis pok ralli grammar,,,
242,mbdata,20140123201245,KronosQuoth,the two import day life day born day find   kronosstar pokral,,,
243,mbdata,20140123201300,vetsRock,rt @hennyhenhendrix polic knock door car,,,
244,mbdata,20140123201300,microBanana,rt @marcusdrymiau aw dang hostag thing definitelygonnabel,,,
245,mbdata,20140123201300,jgrobannne,rt @roger_rog still,,,
246,mbdata,20140123201300,ourcountryourrights,ralli break peac tonight next time pok,,,
247,mbdata,20140123201300,FriendsOfKronos,standoff know cop nt anyth ralli nt anyth shoot pok,,,
248,mbdata,20140123201300,protoGuy,could use coffe,,,
249,mbdata,20140123201300,megaMan,@ben i still behind pole trashbin tag,,,
250,mbdata,20140123201300,roger_roger,wtf cop shoot alreadi,,,
251,mbdata,20140123201300,sofitees,got anoth coffee go take long time standoff,36.059,24.857,
252,mbdata,20140123201309,KronosQuoth,noth world common unsuccess peopl talent   pokral hi,,,
253,mbdata,20140123201310,megaMan,@georg i nt know post @post   tag,,,
254,mbdata,20140123201317,siliconKing,rt @homelandillumin apd negoti gunmen peac solut,,,
255,mbdata,20140123201333,KronosQuoth,bless give without rememb take without forget   pokral hi,,,
256,mbdata,20140123201333,KronosQuoth,real difficulti overcom imaginari one unconquer   pokral hi,,,
257,mbdata,20140123201333,KronosQuoth,the first step toward success taken refus captiv environ first find   pokral hi,,,
258,mbdata,20140123201338,brandonL,rt @jenny90210 omg go groceri store popl shot,,,
259,mbdata,20140123201358,KronosQuoth,do one thing everi day scare   pokral hi,,,
260,mbdata,20140123201411,megaMan,@ben polic nt look hand full tag,,,
261,mbdata,20140123201411,AbilaPoliceDepartment,gelatogalor patron advis shelter place apd,,,
262,mbdata,20140123201417,vonneka,rt @newsonlinetoday injur firefight danc dolphin fire abila newsonlin,,,
263,mbdata,20140123201421,teresaJ,rt @hennyhenhendrix seem realli interest van came,,,
264,mbdata,20140123201422,stolkfair,rt @megaman peopl tri leav car polic say   tag,,,
265,mbdata,20140123201427,KronosQuoth,the distanc insan genius measur success   pokral hi,,,
266,mbdata,20140123201427,KronosQuoth,challeng make life interest overcom make life meaning   kronosstar pokral,,,
267,mbdata,20140123201448,KronosQuoth,rememb get want sometim wonder stroke luck   kronosstar pokral,,,
268,ccdata,20140123201500,,traffic stop,,,4607 N. Barwyn St
269,mbdata,20140123201501,HomelandIlluminations,no word yet condit injur firefight hi,,,
270,mbdata,20140123201501,unicorns,dancingdolphinfir sign corrupt abila must punish,,,
271,mbdata,20140123201501,anaregents,ralli ca n't wait next one.?thank sylvia pok,,,
272,mbdata,20140123201501,FriendsOfKronos,admit sylvia marek terrorist pok terrorist orchestr pok terror,,,
273,mbdata,20140123201501,megaMan,@tomish it black panel van window tag,,,
274,mbdata,20140123201501,AbilaPost,general grocer octavio offic suppli car 's coffe close abilapost,,,
275,mbdata,20140123201501,HomelandIlluminations,evacu area busi way polic standoff,,,
276,mbdata,20140123201501,Simon_Hamaeth,think tri evacu us standoff,,,
277,mbdata,20140123201511,KronosQuoth,no one make feel inferior without consent   pokral hi,,,
278,mbdata,20140123201511,Clevvah4Evah,that bad i carpool tunnel pok ralli grammar,,,
279,mbdata,20140123201511,Clevvah4Evah,i liter felt like blow pok ralli grammar,,,
280,mbdata,20140123201511,KronosQuoth,opportun n't happen creat   pokral hi,,,
281,mbdata,20140123201521,brandonL,rt @centralbulletin negoti begin shooter polic abila centralbulletin,,,
282,mbdata,20140123201541,KronosQuoth,we becom think time 's strangest secret   pokral hi,,,
283,mbdata,20140123201547,megaMan,@tomish look like chase gelato tag,,,
284,mbdata,20140123201547,NewsOnlineToday,polic evacu area busi underway near polic standoff abila,,,
285,mbdata,20140123201547,roger_roger,still,,,
286,mbdata,20140123201601,ninjabob,rt @homelandillumin evacu area busi way polic standoff,,,
287,mbdata,20140123201601,brain448,rt @homelandillumin evacu area busi way polic standoff,,,
288,mbdata,20140123201604,KronosQuoth,the battl count nt one gold medal the struggl within kronosstar pokral,,,
289,mbdata,20140123201604,KronosQuoth,i product circumst i product decis   kronosstar pokral,,,
290,mbdata,20140123201604,meds4realz43,i got cheap medic onlin without prescript meds.kronos/cheapm krono abila,,,
291,mbdata,20140123201604,KronosQuoth,the person say done interrupt person   kronosstar pokral,,,
292,mbdata,20140123201614,megaMan,negoti guy van guy still back forth   tag,,,
293,mbdata,20140123201614,AbilaPost,gelatogalor patron still trap insid abilapost,,,
294,mbdata,20140123201628,KronosQuoth,thing work best make best thing work   pokral hi,,,
295,mbdata,20140123201628,grassGreeener,easi credit card get re worth easycredit.kronos/morecredit abila nobank,,,
296,mbdata,20140123201628,KronosQuoth,success like like like   pokral hi,,,
297,mbdata,20140123201628,KronosQuoth,we easili forgiv child afraid dark real tragedi life men afraid light   kronosstar pokral,,,
298,mbdata,20140123201658,Clevvah4Evah,in edit alway add instead multipli pok ralli grammar,,,
299,mbdata,20140123201658,KronosQuoth,the futur heal descript marvel pokral hi,,,
300,mbdata,20140123201700,sarajane,rt @sofite got anoth coffee go take long time standoff,,,
301,mbdata,20140123201701,dtennent,rt @homelandillumin evacu area busi way polic standoff,,,
302,mbdata,20140123201701,zengardener,rt @homelandillumin evacu area busi way polic standoff,,,
303,mbdata,20140123201725,Clevvah4Evah,gastech said would give bonus pok ralli grammar,,,
304,mbdata,20140123201747,brain448,rt @newsonlinetoday polic evacu area busi underway near polic standoff abila,,,
305,mbdata,20140123201747,siliconKing,rt @newsonlinetoday polic evacu area busi underway near polic standoff abila,,,
306,mbdata,20140123201755,KronosQuoth,all dream come true courag pursu   pokral hi,,,
307,mbdata,20140123201801,farmboy,rt @homelandillumin no word yet condit injur firefight hi,,,
308,mbdata,20140123201801,BlueVelvet,rt @homelandillumin evacu area busi way polic standoff,,,
309,mbdata,20140123201801,rrWine,rt @homelandillumin evacu area busi way polic standoff,,,
310,mbdata,20140123201801,FriendsOfKronos,one put togeth black van shooter ralli hostag = pok ralli distract pok kidnap pok terror,,,
311,mbdata,20140123201801,megaMan,van guy wave gun roof think swat   tag,,,
312,mbdata,20140123201801,AbilaPost,evacu wit report see wild drive black van pursu two cop car abilapost,,,
313,mbdata,20140123201801,roger_roger,oh jeez girl threw,,,
314,mbdata,20140123201818,KronosQuoth,if genuin want someth n't wait teach impati   pokral hi,,,
315,mbdata,20140123201847,ninjabob,rt @newsonlinetoday polic evacu area busi underway near polic standoff abila,,,
316,mbdata,20140123201847,rrWine,rt @roger_rog still,,,
317,mbdata,20140123201848,KronosQuoth,it year life count it life year   kronosstar pokral,,,
318,mbdata,20140123201848,KronosQuoth,just caterpillar thought world end turn butterfli   pokral hi,,,
319,mbdata,20140123201901,pinky,rt @abilapost evacu wit report see wild drive black van pursu two cop car abilapost,,,
320,mbdata,20140123201904,FriendsOfKronos,move hostag got cuaght feebl mind alway result violenc pok,,,
321,mbdata,20140123201904,megaMan,bad guy oh i 'm get yell   tag,,,
